variety,crop_type,age_bin,expected_rvi,expected_std,n
NCo376,ratoon,0,0.2361125,0.03,8
NCo376,ratoon,14,0.349175,0.037413815248228476,8
NCo376,ratoon,28,0.4315125,0.03,8
NCo376,ratoon,42,0.531325,0.053349461103182665,8
NCo376,ratoon,56,0.621,0.03,8
NCo376,ratoon,70,0.67925,0.030868985822574167,8
NCo376,ratoon,84,0.7483,0.03,8
NCo376,ratoon,98,0.7927,0.03,8
NCo376,ratoon,112,0.84585,0.03,8
NCo376,ratoon,126,0.8838374999999999,0.03436833831554019,8
NCo376,ratoon,140,0.9281125,0.03080127258502711,8
NCo376,ratoon,154,0.913125,0.04750905928647416,8
NCo376,ratoon,168,0.874325,0.03246284689566568,8
NCo376,ratoon,182,0.8740375,0.031404091521419854,8
NCo376,ratoon,196,0.825,0.04708466538360139,8
NCo376,ratoon,210,0.7636000000000001,0.03409323351383046,8
NCo376,ratoon,224,0.7271125,0.033826424054069215,8
NCo376,ratoon,238,0.6644,0.03030657637260551,8
