block_id,date,planting_date,variety,crop_type,healthy,observed_rvi,rainfall_mm,irrigation_mm,yield_t_ha,is_problem
A01,2023-01-01,2023-01-01,NCo376,ratoon,True,0.2607,11.0,12.9,,0
A01,2023-01-15,2023-01-01,NCo376,ratoon,True,0.3779,2.4,14.6,,0
A01,2023-01-29,2023-01-01,NCo376,ratoon,True,0.4423,19.7,1.9,,0
A01,2023-02-12,2023-01-01,NCo376,ratoon,True,0.4969,9.3,13.9,,0
A01,2023-02-26,2023-01-01,NCo376,ratoon,True,0.612,20.6,6.7,,0
A01,2023-03-12,2023-01-01,NCo376,ratoon,True,0.6549,13.9,1.0,,0
A01,2023-03-26,2023-01-01,NCo376,ratoon,True,0.7816,15.8,11.4,,0
A01,2023-04-09,2023-01-01,NCo376,ratoon,True,0.7822,24.3,13.4,,0
A01,2023-04-23,2023-01-01,NCo376,ratoon,True,0.8342,4.9,7.0,,0
A01,2023-05-07,2023-01-01,NCo376,ratoon,True,0.8924,3.9,10.2,,0
A01,2023-05-21,2023-01-01,NCo376,ratoon,True,0.9714,24.2,4.9,,0
A01,2023-06-04,2023-01-01,NCo376,ratoon,True,0.8709,11.7,2.8,,0
A01,2023-06-18,2023-01-01,NCo376,ratoon,True,0.8845,11.9,3.4,,0
A01,2023-07-02,2023-01-01,NCo376,ratoon,True,0.8866,10.9,12.5,,0
A01,2023-07-16,2023-01-01,NCo376,ratoon,True,0.785,7.8,12.5,,0
A01,2023-07-30,2023-01-01,NCo376,ratoon,True,0.784,9.7,4.3,,0
A01,2023-08-13,2023-01-01,NCo376,ratoon,True,0.7449,3.5,3.0,,0
A01,2023-08-27,2023-01-01,NCo376,ratoon,True,0.6454,19.7,10.0,,0
A02,2023-01-01,2023-01-01,NCo376,ratoon,True,0.199,19.5,6.9,,0
A02,2023-01-15,2023-01-01,NCo376,ratoon,True,0.3226,3.5,1.7,,0
A02,2023-01-29,2023-01-01,NCo376,ratoon,True,0.4076,11.8,8.5,,0
A02,2023-02-12,2023-01-01,NCo376,ratoon,True,0.515,15.9,8.3,,0
A02,2023-02-26,2023-01-01,NCo376,ratoon,True,0.6346,7.6,0.5,,0
A02,2023-03-12,2023-01-01,NCo376,ratoon,True,0.6688,5.4,6.1,,0
A02,2023-03-26,2023-01-01,NCo376,ratoon,True,0.7062,5.8,0.9,,0
A02,2023-04-09,2023-01-01,NCo376,ratoon,True,0.8234,7.3,9.9,,0
A02,2023-04-23,2023-01-01,NCo376,ratoon,True,0.8343,19.6,10.0,,0
A02,2023-05-07,2023-01-01,NCo376,ratoon,True,0.8688,20.4,2.5,,0
A02,2023-05-21,2023-01-01,NCo376,ratoon,True,0.8837,2.3,10.8,,0
A02,2023-06-04,2023-01-01,NCo376,ratoon,True,0.9165,4.0,7.5,,0
A02,2023-06-18,2023-01-01,NCo376,ratoon,True,0.9053,17.4,6.7,,0
A02,2023-07-02,2023-01-01,NCo376,ratoon,True,0.8604,7.5,9.5,,0
A02,2023-07-16,2023-01-01,NCo376,ratoon,True,0.767,2.2,1.8,,0
A02,2023-07-30,2023-01-01,NCo376,ratoon,True,0.741,22.7,10.5,,0
A02,2023-08-13,2023-01-01,NCo376,ratoon,True,0.7012,24.2,11.7,,0
A02,2023-08-27,2023-01-01,NCo376,ratoon,True,0.6688,11.2,4.1,,0
A12,2023-01-01,2023-01-01,NCo376,ratoon,True,0.2167,22.6,6.8,,0
A12,2023-01-15,2023-01-01,NCo376,ratoon,True,0.2845,7.6,8.7,,0
A12,2023-01-29,2023-01-01,NCo376,ratoon,True,0.4171,21.4,11.4,,0
A12,2023-02-12,2023-01-01,NCo376,ratoon,True,0.5082,10.8,9.4,,0
A12,2023-02-26,2023-01-01,NCo376,ratoon,True,0.6658,16.2,1.3,,0
A12,2023-03-12,2023-01-01,NCo376,ratoon,True,0.6912,1.0,7.4,,0
A12,2023-03-26,2023-01-01,NCo376,ratoon,True,0.7801,3.6,1.6,,0
A12,2023-04-09,2023-01-01,NCo376,ratoon,True,0.7644,4.3,13.9,,0
A12,2023-04-23,2023-01-01,NCo376,ratoon,True,0.8356,8.7,8.9,,0
A12,2023-05-07,2023-01-01,NCo376,ratoon,True,0.8718,24.0,7.2,,0
A12,2023-05-21,2023-01-01,NCo376,ratoon,True,0.9074,2.1,7.3,,0
A12,2023-06-04,2023-01-01,NCo376,ratoon,True,1.0014,23.4,8.6,,0
A12,2023-06-18,2023-01-01,NCo376,ratoon,True,0.8139,6.7,5.0,,0
A12,2023-07-02,2023-01-01,NCo376,ratoon,True,0.8493,11.0,0.3,,0
A12,2023-07-16,2023-01-01,NCo376,ratoon,True,0.8633,22.4,2.1,,0
A12,2023-07-30,2023-01-01,NCo376,ratoon,True,0.7396,2.7,10.1,,0
A12,2023-08-13,2023-01-01,NCo376,ratoon,True,0.7125,18.2,11.5,,0
A12,2023-08-27,2023-01-01,NCo376,ratoon,True,0.6774,22.9,3.5,,0
A01,2024-01-01,2024-01-01,NCo376,ratoon,True,0.2162,13.9,5.6,,0
A01,2024-01-15,2024-01-01,NCo376,ratoon,True,0.3162,20.2,4.8,,0
A01,2024-01-29,2024-01-01,NCo376,ratoon,True,0.4705,7.3,7.7,,0
A01,2024-02-12,2024-01-01,NCo376,ratoon,True,0.5253,23.4,2.5,,0
A01,2024-02-26,2024-01-01,NCo376,ratoon,True,0.5938,10.9,14.9,,0
A01,2024-03-11,2024-01-01,NCo376,ratoon,True,0.691,18.7,13.4,,0
A01,2024-03-25,2024-01-01,NCo376,ratoon,True,0.7467,13.0,4.7,,0
A01,2024-04-08,2024-01-01,NCo376,ratoon,True,0.8137,16.5,5.6,,0
A01,2024-04-22,2024-01-01,NCo376,ratoon,True,0.8642,18.7,3.9,,0
A01,2024-05-06,2024-01-01,NCo376,ratoon,True,0.8367,6.0,1.8,,0
A01,2024-05-20,2024-01-01,NCo376,ratoon,True,0.9568,3.8,2.7,,0
A01,2024-06-03,2024-01-01,NCo376,ratoon,True,0.9506,21.9,2.9,,0
A01,2024-06-17,2024-01-01,NCo376,ratoon,True,0.8572,19.4,14.6,,0
A01,2024-07-01,2024-01-01,NCo376,ratoon,True,0.8637,3.6,0.2,,0
A01,2024-07-15,2024-01-01,NCo376,ratoon,True,0.8753,3.3,10.2,,0
A01,2024-07-29,2024-01-01,NCo376,ratoon,True,0.7041,12.7,10.4,,0
A01,2024-08-12,2024-01-01,NCo376,ratoon,True,0.6717,5.0,12.1,,0
A01,2024-08-26,2024-01-01,NCo376,ratoon,True,0.675,18.5,2.0,,0
